hint_status,noHint,noHint,noHint,noHint,noHint,noHint,noHint,noHint,withHint,withHint,withHint,withHint,withHint,withHint,withHint,withHint
speaker,A Utterance,A Utterance,A Utterance,A Utterance,B Utterance,B Utterance,B Utterance,B Utterance,A Utterance,A Utterance,A Utterance,A Utterance,B Utterance,B Utterance,B Utterance,B Utterance
,accuracy,f1_score,precision,recall,accuracy,f1_score,precision,recall,accuracy,f1_score,precision,recall,accuracy,f1_score,precision,recall
model,,,,,,,,,,,,,,,,
model1,0.4125,0.1514,0.1107,0.2391,0.5875,0.188,0.1536,0.2423,0.4312,0.1923,0.1618,0.2776,0.5875,0.1873,0.1526,0.2423
model2,0.4188,0.1502,0.1088,0.2428,0.575,0.209,0.2122,0.2512,0.4125,0.1486,0.1078,0.2391,0.575,0.184,0.1503,0.2371
model3,0.4062,0.163,0.2784,0.235,0.55,0.1789,0.1477,0.2268,0.425,0.1511,0.109,0.2464,0.6,0.2499,0.3004,0.2817
model4,0.4875,0.2725,0.3707,0.3349,0.5812,0.231,0.2888,0.2621,0.45,0.237,0.2837,0.2858,0.5625,0.1837,0.152,0.232
model5,0.425,0.1821,0.1375,0.274,0.575,0.2249,0.2798,0.2573,0.4375,0.16,0.3606,0.2534,0.6062,0.2168,0.2362,0.2641
model6,0.425,0.2249,0.2142,0.2982,0.5812,0.2083,0.1994,0.2538,0.4125,0.1889,0.3976,0.263,0.5812,0.1883,0.155,0.2397
modelGemini,0.4625,0.2279,0.3608,0.294,0.6,0.1905,0.1548,0.2474,0.425,0.1696,0.3662,0.2459,0.6062,0.2155,0.2048,0.2641
modelOpenAI,0.4312,0.1797,0.3644,0.249,0.6,0.1905,0.1548,0.2474,0.425,0.1635,0.235,0.2459,0.6,0.192,0.1569,0.2474
